# 10회차 갈음 파일 목록 — aac64ba..dfead93
#
# 회사 PC 경로: C:\Users\SAMSUNG\.claude\pid\AI-P-ID-Extraction-tool\
# 아래 파일만 덮어쓰면 됩니다.  나머지는 손대지 마세요.
#
# ⚠ app\_data\ 는 이 목록에 없고, 있어서도 안 됩니다.
#    (app.db · app.db-wal · app.db-shm · uploads\ — 팀원 전원의 도면·분석
#     결과·리비전 이력.  한 번 덮으면 복구가 안 됩니다.)
#    확인: 아래 12줄 중 `app/_data/` 로 시작하는 줄 = 0
#
# 의존성 변경 없음 — 새로 받아야 할 wheel 이 없습니다.

CLAUDE.md                        | 10회차 기준선 표(지문 3a57b6b2 · 1029행)와 요약 9항목 추가. 코드 지도에 새 함수 4개
app/engine/describe_axis.py      | [G] nearest_conn 추가 — 라인 전후단 최근접 커넥터. 중간 접합 가지 좌표(mid_runs) 기록
app/excel_out.py                 | [F] BODY/TYPE 열이 type_display 를 읽는다. [E] 'Scope of Supply' 안내 주석 갱신
app/main.py                      | [F] /jobs/{id}/rows 응답에 type_display 추가 (규칙은 서버에만 둔다)
app/pipeline.py                  | [E] ACTIVE_SCOPE 를 config 로, _scope_of 네 규칙, _supplier_name. [F] type_display. [G] 최근접 커넥터 문장과 1차 적용. 오버레이 색 판정 순서(벤더 먼저)
app/static/app.js                | [F] 그리드 TYPE 칸이 서버가 준 type_display 를 읽는다
config/project_alnouf1.yaml      | [B] TW 를 type_map 으로. [E] scope 절 신설(exclusion_rules · supplier_from_notes · vendor_description), 'Scope of Supply'(37열)가 scope 를 읽도록 변경
docs/round10_feedback.md         | 이번 회차 측정 전문 — 원인 규명 · 분리 측정 · 824행 전수 대조 · 확인 대기 9건 (신규)
tests/test_describe_axis.py      | [G] nearest_conn 시험 6건 — 순회하지 않음을 소스 검사로 강제
tests/test_determinism.py        | [G] 신규문형(최근접) 행의 계약(낱말 출처 · LOW · Remark) 추가
tests/test_scope_and_type.py     | [E][F] SCOPE 네 규칙 · 공급자명 비하드코딩 · TYPE 표기 불변 시험 8건 (신규)
tests/test_ui_edits.py           | [E] 편집 시험 칸 vendor_supply → scope, 재분석 scope 방향 제한 (docs §9-3, 승인 요청)
