# 11회차 갈음 파일 목록 — aac64ba..d327529 (10회차 + 11회차 **누적**)
#
# 회사 PC 경로: C:\Users\SAMSUNG\.claude\pid\AI-P-ID-Extraction-tool\
# 회사 PC 현재 커밋: aac64ba ("회사 PC 이관 — Windows 오프라인 설치 준비")
#   → handover_10 은 전달되지 않았으므로 이 꾸러미가 10+11 을 함께 담습니다.
#     handover_10 을 따로 반영할 필요가 없습니다.
#
# ⚠ app\_data\ 는 이 목록에 없고, 있어서도 안 됩니다.
#    (app.db · app.db-wal · app.db-shm · uploads\ — 팀원 전원의 도면·분석
#     결과·리비전 이력.  한 번 덮으면 복구가 안 됩니다.)
#    확인: 아래 16줄 중 `app/_data/` 로 시작하는 줄 = 0
#
# 의존성 변경 없음 — 새로 받아야 할 wheel 이 없습니다.
#
# 담지 않은 것 (저장소에는 있지만 배포 대상이 아님):
#   out/handover_10.txt · .zip · _README.txt   이전 회차의 갈음 산출물
#   out/round11_p6/*.png                        p6 실행결과 캡처 7장 (보고용)

CLAUDE.md                        | 10 11 | 기준선 표에 10·11회차 열 추가, 두 측정축 설명, 코드 지도 갱신. 오래된 테스트 수(95·113)를 실측(116)으로 정정
app/engine/describe_axis.py      | 10    | nearest_conn 추가 — 라인 전후단 최근접 커넥터. 중간 접합 가지 좌표 기록
app/engine/detect_symbols.py     |    11 | read_vendor_mark · package_box_marks 를 detect() 에서 꺼냄 (판정 불변). 밸브가 같은 함수를 쓰기 위한 것
app/engine/detect_valves.py      |    11 | Body.actuator_rect 추가. 판정에 안 쓰이고, 벤더 별표를 어느 사각형 위에서 찾을지에만 쓰임
app/excel_out.py                 | 10 11 | BODY/TYPE 열이 type_display 를 읽음(10). 발주처 양식이 SCOPE=SCT 만 담고 NO 를 1부터 다시 매김(11)
app/main.py                      | 10 11 | rows 응답에 type_display(10). MANIFEST 에 out_of_scope_rows · legacy_no_scope_rows(11)
app/pipeline.py                  | 10 11 | SCOPE 열 네 규칙 · type_display · 최근접 커넥터(10). 밸브 SCOPE 충전(11)
app/static/app.js                | 10    | 그리드 TYPE 칸이 서버가 준 type_display 를 읽음
config/project_alnouf1.yaml      | 10    | TW 를 type_map 으로. scope 절 신설. 'Scope of Supply'(37열)가 scope 를 읽도록 변경
docs/round10_feedback.md         | 10    | 10회차 측정 전문 (신규)
docs/round11_scope_axis.md       |    11 | 11회차 측정 전문 — 두 축 · 밸브 SCOPE · 필터 · 캡처가 잡은 결함 3건 (신규)
spike/accuracy.py                |    11 | 측정축 두 개(전량 · SCT). 기존 정의는 그대로 두고 keep 하나만 축마다 다름
tests/test_describe_axis.py      | 10    | nearest_conn 시험 6건 — 순회하지 않음을 소스 검사로 강제
tests/test_determinism.py        | 10    | 신규문형(최근접) 행의 계약(낱말 출처 · LOW · Remark)
tests/test_scope_and_type.py     | 10 11 | SCOPE 네 규칙 · 공급자명 비하드코딩 · TYPE 표기 불변(10). 밸브 SCOPE · 필터 · 두 축(11) — 14건
tests/test_ui_edits.py           | 10 11 | 편집 시험 칸 조정 · 재분석 scope 방향 제한(10). SCOPE 편집이 행을 빼는지 보는 시험 신설 · 게이트 대기를 조건 대기로(11)
