# 12회차 갈음 파일 목록 — aac64ba..HEAD (10회차 + 11회차 + 12회차 **누적**)
#
# 회사 PC 경로: C:\Users\SAMSUNG\.claude\pid\AI-P-ID-Extraction-tool\
# 회사 PC 현재 커밋: aac64ba ("회사 PC 이관 — Windows 오프라인 설치 준비")
#   → handover_10 · handover_11 이 전달되지 않았으므로 이 꾸러미 하나가
#     10·11·12 를 함께 담습니다.  앞의 둘을 따로 반영할 필요가 없습니다.
#
# ⚠ app\_data\ 는 이 목록에 없고, 있어서도 안 됩니다.
#    (app.db · app.db-wal · app.db-shm · uploads\ — 팀원 전원의 도면·분석
#     결과·리비전 이력.  한 번 덮으면 복구가 안 됩니다.)
#    확인: 아래 20줄 중 `app/_data/` 로 시작하는 줄 = 0
#
# 의존성 변경 없음 — 새로 받아야 할 wheel 이 없습니다.
#
# 담지 않은 것 (저장소에는 있지만 배포 대상이 아님):
#   out/handover_10 · 11 · 12 의 txt · zip · README   갈음 산출물 자체
#   out/round11_p6/*.png · out/round12_ui/**/*.png     실행결과 캡처 (보고용)

CLAUDE.md                         | 10 11 12 | 기준선 표에 10·11·12회차 열, 두 측정축, 12회차 절과 코드 지도 갱신
app/engine/describe_axis.py       | 10       | nearest_conn 추가 — 라인 전후단 최근접 커넥터. 중간 접합 가지 좌표 기록
app/engine/detect_symbols.py      |    11    | read_vendor_mark · package_box_marks 를 detect() 에서 꺼냄 (판정 불변)
app/engine/detect_valves.py       |    11    | Body.actuator_rect 추가. 벤더 별표를 어느 사각형 위에서 찾을지에만 쓰임
app/excel_out.py                  | 10 11    | BODY/TYPE 이 type_display 를 읽음(10). 발주처 양식이 SCOPE=SCT 만 담음(11)
app/main.py                       | 10 11 12 | type_display(10) · MANIFEST 스코프 계수(11) · 취소 API 와 완료 요약(12)
app/pipeline.py                   | 10 11 12 | SCOPE 네 규칙 · type_display · 최근접 커넥터(10) · 밸브 SCOPE(11) · 진행 신호와 오버레이 색(12)
app/static/app.js                 | 10    12 | TYPE 칸이 type_display 를 읽음(10). 근거 패널 · 범례 · 진행/취소/완료 · 팬(12)
app/static/index.html             |       12 | 진행 화면 4줄(무엇/지금/경과/완료)과 취소 버튼
app/static/styles.css             |       12 | SCOPE 열 폭·글자, 위험 버튼, 진행 화면, 팬 커서. 행 높이는 안 건드림
config/project_alnouf1.yaml       | 10       | TW 를 type_map 으로. scope 절 신설. 37열이 scope 를 읽음
docs/round10_feedback.md          | 10       | 10회차 측정 전문 (신규)
docs/round11_scope_axis.md        |    11    | 11회차 측정 전문 — 두 축 · 밸브 SCOPE · 필터 (신규)
docs/round12_annotation_design.md |       12 | 주석 저장 설계안. **구현하지 않았습니다** (신규)
docs/round12_ui.md                |       12 | 12회차 측정 전문 — 사실 표기 교정 · 진행률 · 취소 · 팬 (신규)
spike/accuracy.py                 |    11    | 측정축 두 개(전량 · SCT). keep 하나만 축마다 다름
tests/test_describe_axis.py       | 10       | nearest_conn 시험 6건 — 순회하지 않음을 소스 검사로 강제
tests/test_determinism.py         | 10       | 신규문형(최근접) 행의 계약(낱말 출처 · LOW · Remark)
tests/test_scope_and_type.py      | 10 11    | SCOPE 네 규칙 · 공급자명 비하드코딩 · TYPE 표기 불변 · 밸브 SCOPE · 두 축 — 14건
tests/test_ui_edits.py            | 10 11    | 편집 시험 칸 조정 · 재분석 방향 제한 · SCOPE 편집 시험 · 게이트 조건 대기
