페이지,도면번호,탭,TYPE,이전 SCOPE,새 SCOPE,등급 변화,근거(벤더 마크),이 회차의 어느 규칙이 바꿨나,행 키,좌표
47,D00P-00GHC10-M05-0001,FIELD,PI,SCT,VENDOR(PUMP VENDOR),CONFIRMED -> SKIP,별표 1개 · SYMBOL · TO BE SUPPLIED BY PUMP VENDOR.,잉크 걸림 — 범례 정의줄에 겹친 빨간 클라우드 호가 글리프 크기를 가로채고 있었다,07903b9fc0582add,1015.3 1395.9 1100.3 1424.3
9,D00P-10LBA30-M05-0001,FIELD,FIT,SCT,VENDOR(HRSG),PARTIAL -> SKIP,별표 1개 · PACKAGE_BOX · DENOTES EQUIPMENT WILL BE SUPPLIED BY HRSG.,Block(체인 파선 상자) 검출 — brk_max_mark 28.3 + 별표는 칠 없는 곧은 선,18d77f4b56265380,494.1 1085.9 562.1 1108.5
9,D00P-10LBA30-M05-0001,FIELD,FIT,SCT,VENDOR(HRSG),PARTIAL -> SKIP,별표 1개 · PACKAGE_BOX · DENOTES EQUIPMENT WILL BE SUPPLIED BY HRSG.,Block(체인 파선 상자) 검출 — brk_max_mark 28.3 + 별표는 칠 없는 곧은 선,24041681583a79d6,494.1 479.0 562.1 501.6
47,D00P-00GHC10-M05-0001,FIELD,RO,SCT,VENDOR(PUMP VENDOR),CONFIRMED -> SKIP,별표 1개 · SYMBOL · TO BE SUPPLIED BY PUMP VENDOR.,잉크 걸림 — 범례 정의줄에 겹친 빨간 클라우드 호가 글리프 크기를 가로채고 있었다,69a74f2d5a9cb054,1537.7 427.9 1566.1 513.0
9,D00P-10LBA30-M05-0001,FIELD,FIT,SCT,VENDOR(HRSG),PARTIAL -> SKIP,별표 1개 · PACKAGE_BOX · DENOTES EQUIPMENT WILL BE SUPPLIED BY HRSG.,Block(체인 파선 상자) 검출 — brk_max_mark 28.3 + 별표는 칠 없는 곧은 선,6bcbd6218d64254e,494.1 1054.5 562.1 1077.2
9,D00P-10LBA30-M05-0001,FIELD,FE,SCT,VENDOR(HRSG),PARTIAL -> SKIP,별표 1개 · PACKAGE_BOX · DENOTES EQUIPMENT WILL BE SUPPLIED BY HRSG.,Block(체인 파선 상자) 검출 — brk_max_mark 28.3 + 별표는 칠 없는 곧은 선,7589c63a842d464d,494.1 1116.5 562.1 1139.1
47,D00P-00GHC10-M05-0001,FIELD,PI,SCT,VENDOR(PUMP VENDOR),CONFIRMED -> SKIP,별표 1개 · SYMBOL · TO BE SUPPLIED BY PUMP VENDOR.,잉크 걸림 — 범례 정의줄에 겹친 빨간 클라우드 호가 글리프 크기를 가로채고 있었다,a8c17adba8cf6daf,1206.9 1071.3 1291.9 1099.7
47,D00P-00GHC10-M05-0001,FIELD,PI,SCT,VENDOR(PUMP VENDOR),CONFIRMED -> SKIP,별표 1개 · SYMBOL · TO BE SUPPLIED BY PUMP VENDOR.,잉크 걸림 — 범례 정의줄에 겹친 빨간 클라우드 호가 글리프 크기를 가로채고 있었다,b546f94c3fe1678b,1131.1 729.5 1216.1 757.9
35,D00P-10PGB10-M05-0001,FIELD,TIT,VENDOR(PUMP SUPPLIER),SCT,SKIP -> CONFIRMED,별표 1개 · SYMBOL · SUPPLIED BY PUMP SUPPLIER.,잉크 걸림 — 개정 클라우드의 빨강은 도면의 표시가 아니다,c5a7f8cfe6d4db82,1512.0 1440.5 1540.4 1525.6
9,D00P-10LBA30-M05-0001,FIELD,FIT,SCT,VENDOR(HRSG),PARTIAL -> SKIP,별표 1개 · PACKAGE_BOX · DENOTES EQUIPMENT WILL BE SUPPLIED BY HRSG.,Block(체인 파선 상자) 검출 — brk_max_mark 28.3 + 별표는 칠 없는 곧은 선,c5c4146bd467010e,494.1 447.6 562.1 470.2
25,D00P-11EKG10-M05-0001,FIELD,PIT,VENDOR,VENDOR(GT SUPPLIER),CONFIRMED -> SKIP,별표 1개 · SYMBOL · MARKED ITEM TO BE SUPPLIED BY GT SUPPLIER.,마크 소유자 판정 — 한 마크는 더 가까운 버블 하나에만,c6481fdb6afd1870,499.9 695.6 567.8 718.2
9,D00P-10LBA30-M05-0001,FIELD,FE,SCT,VENDOR(HRSG),PARTIAL -> SKIP,별표 1개 · PACKAGE_BOX · DENOTES EQUIPMENT WILL BE SUPPLIED BY HRSG.,Block(체인 파선 상자) 검출 — brk_max_mark 28.3 + 별표는 칠 없는 곧은 선,cdbf1840e5362035,494.1 509.6 562.1 532.2
47,D00P-00GHC10-M05-0001,FIELD,RO,SCT,VENDOR(PUMP VENDOR),CONFIRMED -> SKIP,별표 1개 · SYMBOL · TO BE SUPPLIED BY PUMP VENDOR.,잉크 걸림 — 범례 정의줄에 겹친 빨간 클라우드 호가 글리프 크기를 가로채고 있었다,ec75579b246fc13c,1297.3 1078.3 1325.6 1163.4
47,D00P-00GHC10-M05-0001,FIELD,RO,SCT,VENDOR(PUMP VENDOR),CONFIRMED -> SKIP,별표 1개 · SYMBOL · TO BE SUPPLIED BY PUMP VENDOR.,잉크 걸림 — 범례 정의줄에 겹친 빨간 클라우드 호가 글리프 크기를 가로채고 있었다,fc1bbd398e947e27,1601.8 427.9 1630.2 513.0
