페이지,도면번호,행 수,SCOPE 바뀐 행,양식에 나가는 행 (이전),양식에 나가는 행 (이후)
6,D00P-10LBA10-M05-0001,46,0,18,18
7,D00P-10LBC40-M05-0001,32,0,15,15
8,D00P-10LBC50-M05-0001,36,0,15,15
9,D00P-10LBA30-M05-0001,41,6,24,18
10,D00P-10MAN10-M05-0001,41,0,35,35
11,D00P-10MAN10-M05-0002,41,0,35,35
12,D00P-10LBG10-M05-0001,19,0,18,18
13,D00P-11LCQ10-M05-0001,9,0,5,5
14,D00P-10LCM10-M05-0001,16,0,12,12
15,D00P-10LBG10-M05-0001,1,0,1,1
16,D00P-10LCA10-M05-0001,48,0,34,34
17,D00P-10LCA10-M05-0002,15,0,15,15
18,D00P-10MAJ10-M05-0001,12,0,12,12
20,D00P-11LAB00-M05-0001,38,0,36,36
21,D00P-11LAC10-M05-0001,32,0,32,32
22,D00P-00EKG10-M05-0001,4,0,4,4
23,D00P-00EKG10-M05-0002,4,0,4,4
24,D00P-00EKG10-M05-0003,2,0,2,2
25,D00P-11EKG10-M05-0001,19,1,12,12
26,D00P-00PAB10-M05-0001,29,0,15,15
27,D00P-00PAB10-M05-0002,25,0,15,15
28,D00P-00PAB10-M05-0003,14,0,10,10
30,D00P-10PAC10-M05-0001,32,0,32,32
31,D00P-10PCB10-M05-0001,15,0,15,15
32,D00P-00EGD00-M05-0001,24,0,16,16
33,D00P-00EGD00-M05-0002,47,0,36,36
34,D00P-11EGD00-M05-0001,1,0,1,1
35,D00P-10PGB10-M05-0001,25,1,24,25
36,D00P-10PGB10-M05-0002,12,0,12,12
37,D00P-10PGB10-M05-0003,30,0,30,30
38,D00P-10PGB10-M05-0004,24,0,24,24
39,D00P-10PGB10-M05-0005,21,0,21,21
40,D00P-10PGB10-M05-0006,33,0,32,32
41,D00P-10PGB10-M05-0007,33,0,32,32
42,D00P-10QFA10-M05-0001,11,0,11,11
43,D00P-10QFB10-M05-0001,1,0,1,1
46,D00P-00GHC10-M05-0001,22,0,18,18
47,D00P-00GHC10-M05-0001,36,6,36,30
49,D00P-00GHB10-M05-0001,22,0,19,19
51,D00P-00GKB10-M05-0001,14,0,11,11
52,D00P-00GMA10-M05-0001,30,0,10,10
53,D00P-00GMB10-M05-0001,24,0,8,8
54,D00P-00GMB10-M05-0002,21,0,7,7
55,D00P-00GMA10-M05-0001,9,0,9,9
56,D00P-00GQA10-M05-0001,18,0,6,6
