페이지,도면번호,몸체 총계,actuator=NONE,그 중 태그 있음,태그 목록,GLOBE,GATE,BALL,CHECK,BUTTERFLY,DIAPHRAGM
6,D00P-10LBA10-M05-0001,63,55,0,,41,10,1,3,0,0
7,D00P-10LBC40-M05-0001,71,60,1,PCV,50,6,0,0,0,4
8,D00P-10LBC50-M05-0001,40,33,0,,23,8,0,2,0,0
9,D00P-10LBA30-M05-0001,59,53,0,,45,6,0,2,0,0
10,D00P-10MAN10-M05-0001,59,50,3,XV XV XV,39,5,0,3,0,3
11,D00P-10MAN10-M05-0002,56,47,3,XV XV XV,36,5,0,3,0,3
12,D00P-10LBG10-M05-0001,41,35,2,MOV TCV,26,9,0,0,0,0
13,D00P-11LCQ10-M05-0001,21,21,0,,13,5,0,3,0,0
14,D00P-10LCM10-M05-0001,35,32,1,BPRV,23,6,0,3,0,0
15,D00P-10LBG10-M05-0001,6,6,0,,4,1,0,1,0,0
16,D00P-10LCA10-M05-0001,87,80,6,FCV LCV LCV PSV PSV PSV,65,6,0,5,4,0
17,D00P-10LCA10-M05-0002,50,45,5,LCV PRV PSV TCV TCV,24,14,2,5,0,0
18,D00P-10MAJ10-M05-0001,16,12,0,,6,6,0,0,0,0
19,D00P-10PUE00-M05-0001,2,2,0,,2,0,0,0,0,0
20,D00P-11LAB00-M05-0001,107,104,3,MOV PSV PSV,84,12,0,8,0,0
21,D00P-11LAC10-M05-0001,125,115,8,FCV FCV FCV PCV PSV PSV XV XV,87,8,0,20,0,0
22,D00P-00EKG10-M05-0001,34,33,0,,4,0,24,5,0,0
23,D00P-00EKG10-M05-0002,41,41,0,,8,0,28,5,0,0
24,D00P-00EKG10-M05-0003,12,12,0,,10,0,2,0,0,0
25,D00P-11EKG10-M05-0001,106,97,2,PSV PSV,38,0,49,10,0,0
26,D00P-00PAB10-M05-0001,84,77,0,,0,44,0,15,7,11
27,D00P-00PAB10-M05-0002,64,57,0,,0,35,0,9,1,12
28,D00P-00PAB10-M05-0003,30,26,0,,0,16,0,4,1,5
29,D00P-00PAB10-M05-0004,8,8,0,,0,8,0,0,0,0
30,D00P-10PAC10-M05-0001,70,62,0,,0,50,0,6,6,0
31,D00P-10PCB10-M05-0001,38,38,3,PSV PSV PSV,0,25,0,3,10,0
32,D00P-00EGD00-M05-0001,83,83,3,PSV PSV PSV,31,13,31,7,1,0
33,D00P-00EGD00-M05-0002,131,119,6,PCV PSV PSV PSV PSV PSV,50,12,48,6,3,0
34,D00P-11EGD00-M05-0001,6,6,0,,4,2,0,0,0,0
35,D00P-10PGB10-M05-0001,65,64,4,PSV PSV PSV XV,42,7,0,2,13,0
36,D00P-10PGB10-M05-0002,31,31,4,PSV PSV PSV PSV,20,11,0,0,0,0
37,D00P-10PGB10-M05-0003,76,76,12,PSV PSV PSV PSV PSV PSV PSV PSV PSV PSV TCV TCV,48,20,0,0,8,0
38,D00P-10PGB10-M05-0004,66,66,8,PSV PSV PSV PSV PSV PSV PSV PSV,41,25,0,0,0,0
39,D00P-10PGB10-M05-0005,60,60,7,PSV PSV PSV PSV PSV PSV PSV,39,21,0,0,0,0
40,D00P-10PGB10-M05-0006,85,85,2,PSV PSV,53,22,3,0,7,0
41,D00P-10PGB10-M05-0007,85,85,2,PSV PSV,53,22,3,0,7,0
42,D00P-10QFA10-M05-0001,34,33,2,PSV PSV,0,16,11,6,0,0
43,D00P-10QFB10-M05-0001,50,50,0,,0,0,50,0,0,0
44,D00P-00SCB10-M05-0001,36,36,0,,0,0,36,0,0,0
45,D00P-00QJA10-M05-0001,26,26,0,,26,0,0,0,0,0
46,D00P-00GHC10-M05-0001,71,69,1,MOV,33,14,3,6,11,2
47,D00P-00GHC10-M05-0001,140,138,1,MOV,76,30,6,12,10,4
49,D00P-00GHB10-M05-0001,79,77,0,,44,17,3,6,7,0
50,D00P-00GHB10-M05-0002,85,85,0,,83,2,0,0,0,0
51,D00P-00GKB10-M05-0001,63,62,0,,15,40,3,4,0,0
52,D00P-00GMA10-M05-0001,60,60,0,,0,40,0,20,0,0
53,D00P-00GMB10-M05-0001,49,49,0,,0,32,1,16,0,0
54,D00P-00GMB10-M05-0002,43,43,0,,0,28,1,14,0,0
55,D00P-00GMA10-M05-0001,32,32,0,,0,15,0,17,0,0
56,D00P-00GQA10-M05-0001,36,36,0,,0,24,0,12,0,0
57,D00P-00QCA00-M05-0001,2,2,0,,0,2,0,0,0,0
58,D00P-11QUA10-M05-0001,2,2,0,,2,0,0,0,0,0
합계,,2821,2676,89,,1288,700,305,243,96,44
