페이지,도면번호,탭,TYPE,열,이전값,새값,근거,어느 단계,행 키
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #11 HP STEAM TEMPERATURE,UNIT #11 HP STEAM TEMPERATURE A,같은 도면에 같은 문장 5행 · 위→아래 · 좌→우 A번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,0496c0be022bd8d2
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #10 HP STEAM TEMPERATURE,UNIT #10 HP STEAM TEMPERATURE B,같은 도면에 같은 문장 2행 · 위→아래 · 좌→우 B번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,0e96b25afd3ef9aa
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #11 HP STEAM TEMPERATURE,UNIT #11 HP STEAM TEMPERATURE D,같은 도면에 같은 문장 5행 · 위→아래 · 좌→우 D번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,311eac50402e48c3
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #12 HP STEAM TEMPERATURE,UNIT #12 HP STEAM TEMPERATURE B,같은 도면에 같은 문장 3행 · 위→아래 · 좌→우 B번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,44d2e50a7e81229c
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #11 HP STEAM TEMPERATURE,UNIT #11 HP STEAM TEMPERATURE C,같은 도면에 같은 문장 5행 · 위→아래 · 좌→우 C번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,6688e56fcb86a134
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #11 HP STEAM TEMPERATURE,UNIT #11 HP STEAM TEMPERATURE E,같은 도면에 같은 문장 5행 · 위→아래 · 좌→우 E번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,77713b4c6e472e01
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #10 HP STEAM TEMPERATURE,UNIT #10 HP STEAM TEMPERATURE A,같은 도면에 같은 문장 2행 · 위→아래 · 좌→우 A번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,a54d37d1f3cdffe5
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #11 HP STEAM TEMPERATURE,UNIT #11 HP STEAM TEMPERATURE B,같은 도면에 같은 문장 5행 · 위→아래 · 좌→우 B번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,ad62537ea0594f92
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #12 HP STEAM TEMPERATURE,UNIT #12 HP STEAM TEMPERATURE C,같은 도면에 같은 문장 3행 · 위→아래 · 좌→우 C번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,d91fcc2b3fc00518
6,D00P-10LBA10-M05-0001,FIELD,TIT,description,UNIT #12 HP STEAM TEMPERATURE,UNIT #12 HP STEAM TEMPERATURE A,같은 도면에 같은 문장 3행 · 위→아래 · 좌→우 A번째 · 붙이지 않음 — 이 도면의 테두리 그리드가 텍스트가 아니고 글리프 사전에 E~H·2~8 이 없다,C-1 중복 순번,e759f83d0dd7bd91
