페이지,도면번호,행 수,C-1 중복 순번,C-4 커넥터 위치어,C-4 보류(갈리지 않음),합계
6,D00P-10LBA10-M05-0001,46,10,0,0,10
7,D00P-10LBC40-M05-0001,32,4,0,0,4
8,D00P-10LBC50-M05-0001,36,10,0,0,10
9,D00P-10LBA30-M05-0001,41,6,0,0,6
10,D00P-10MAN10-M05-0001,41,2,0,0,2
11,D00P-10MAN10-M05-0002,41,13,0,0,13
12,D00P-10LBG10-M05-0001,19,2,0,0,2
13,D00P-11LCQ10-M05-0001,9,0,0,0,0
14,D00P-10LCM10-M05-0001,16,5,0,0,5
15,D00P-10LBG10-M05-0001,1,0,0,0,0
16,D00P-10LCA10-M05-0001,48,7,0,0,7
17,D00P-10LCA10-M05-0002,15,0,0,0,0
18,D00P-10MAJ10-M05-0001,12,2,0,7,2
20,D00P-11LAB00-M05-0001,38,3,0,0,3
21,D00P-11LAC10-M05-0001,32,0,6,3,6
22,D00P-00EKG10-M05-0001,4,0,0,0,0
23,D00P-00EKG10-M05-0002,4,0,0,0,0
24,D00P-00EKG10-M05-0003,2,0,0,0,0
25,D00P-11EKG10-M05-0001,19,3,0,0,3
26,D00P-00PAB10-M05-0001,29,3,0,0,3
27,D00P-00PAB10-M05-0002,25,2,0,0,2
28,D00P-00PAB10-M05-0003,14,0,0,0,0
30,D00P-10PAC10-M05-0001,32,0,0,0,0
31,D00P-10PCB10-M05-0001,15,6,0,0,6
32,D00P-00EGD00-M05-0001,24,3,0,0,3
33,D00P-00EGD00-M05-0002,47,16,0,0,16
34,D00P-11EGD00-M05-0001,1,0,0,0,0
35,D00P-10PGB10-M05-0001,25,2,0,0,2
36,D00P-10PGB10-M05-0002,12,12,0,0,12
37,D00P-10PGB10-M05-0003,30,25,0,0,25
38,D00P-10PGB10-M05-0004,24,9,12,4,21
39,D00P-10PGB10-M05-0005,21,21,0,0,21
40,D00P-10PGB10-M05-0006,33,27,0,0,27
41,D00P-10PGB10-M05-0007,33,27,0,0,27
42,D00P-10QFA10-M05-0001,11,0,0,0,0
43,D00P-10QFB10-M05-0001,1,0,0,0,0
46,D00P-00GHC10-M05-0001,22,8,0,0,8
47,D00P-00GHC10-M05-0001,36,10,0,0,10
49,D00P-00GHB10-M05-0001,22,6,0,0,6
51,D00P-00GKB10-M05-0001,14,2,0,0,2
52,D00P-00GMA10-M05-0001,30,4,0,0,4
53,D00P-00GMB10-M05-0001,24,2,0,0,2
54,D00P-00GMB10-M05-0002,21,2,0,0,2
55,D00P-00GMA10-M05-0001,9,0,0,0,0
56,D00P-00GQA10-M05-0001,18,2,0,0,2
