종류,페이지,표기,좌표,사유
INSTRUMENT_TAG,7,PP,"[747.3, 396.3]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,7,PP,"[511.6, 396.3]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,14,AT,"[1459.1, 1222.0]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,14,AT,"[1481.8, 1222.0]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,14,PIT,"[1890.5, 1528.4]",버블 기하 검증 실패
INSTRUMENT_TAG,15,PSV,"[422.1, 936.5]",버블 기하 검증 실패
INSTRUMENT_TAG,15,PSV,"[439.1, 1023.4]",버블 기하 검증 실패
INSTRUMENT_TAG,16,AIT,"[657.2, 990.6]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,AIT,"[728.1, 990.6]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,AIT,"[799.0, 990.6]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,AIT,"[869.8, 990.6]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,NRV,"[1866.3, 586.5]",버블 기하 검증 실패
INSTRUMENT_TAG,16,PP,"[677.2, 182.7]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,PP,"[719.7, 212.2]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,PP,"[762.2, 182.7]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,PP,"[899.2, 182.7]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,PP,"[941.8, 212.2]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,PP,"[984.3, 182.7]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,RO,"[641.4, 634.0]",버블 기하 검증 실패
INSTRUMENT_TAG,16,RO,"[641.4, 715.0]",버블 기하 검증 실패
INSTRUMENT_TAG,16,ZS,"[998.8, 1189.7]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,ZS,"[998.8, 1352.2]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,16,ZS,"[998.8, 1514.7]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,17,CV,"[807.5, 296.9]",버블 기하 검증 실패
INSTRUMENT_TAG,17,CV,"[1074.5, 402.7]",버블 기하 검증 실패
INSTRUMENT_TAG,20,ZS,"[488.1, 638.5]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,20,ZS,"[521.4, 1152.3]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSC,"[400.2, 465.9]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSC,"[400.2, 741.1]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSC,"[634.8, 1307.7]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSC,"[1694.6, 423.9]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSC,"[1221.0, 164.7]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSC,"[634.8, 1582.9]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSC,"[1240.4, 1158.9]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSO,"[400.2, 488.5]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSO,"[400.2, 718.5]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSO,"[634.8, 1330.3]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSO,"[1694.7, 446.5]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSO,"[1221.1, 187.3]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSO,"[634.8, 1560.3]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZSO,"[1240.4, 1181.6]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZT,"[619.2, 488.5]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZT,"[879.3, 187.3]",ISA 태그 모양인데 이 프로젝트 사전에 없음
INSTRUMENT_TAG,21,ZT,"[1018.8, 1195.9]",ISA 태그 모양인데 이 프로젝트 사전에 없음
