구분,key,페이지,도면번호,탭,열,전,후
추가,0f6f2d9d4745e2e3,10,D00P-10MAN10-M05-0001,PNEUMATIC,(행 전체),,ANGLE · HRSG#11 HRH STEAM SYSTEM DISCHARGE ANGLE VALVE
추가,18068b4c0ad2783b,10,D00P-10MAN10-M05-0001,PNEUMATIC,(행 전체),,ANGLE · HRSG#11 LP STEAM SYSTEM DISCHARGE ANGLE VALVE
추가,495d9dc2cdd20ecc,11,D00P-10MAN10-M05-0002,PNEUMATIC,(행 전체),,ANGLE · HRSG#12 HP STEAM SYSTEM DISCHARGE ANGLE VALVE
추가,4bd7f59d738626cf,20,D00P-11LAB00-M05-0001,PNEUMATIC,(행 전체),,ANGLE · TO SPRAY FOR HP BYPASS # 11 ANGLE VALVE
추가,7d47ed5362f75422,21,D00P-11LAC10-M05-0001,PNEUMATIC,(행 전체),,ANGLE · TO CONDENSER ANGLE VALVE
추가,9514e5b978022aed,11,D00P-10MAN10-M05-0002,PNEUMATIC,(행 전체),,ANGLE · HRSG#12 HRH STEAM SYSTEM DISCHARGE ANGLE VALVE
추가,d89075792eaa3d32,10,D00P-10MAN10-M05-0001,PNEUMATIC,(행 전체),,ANGLE · HRSG#11 HP STEAM SYSTEM DISCHARGE ANGLE VALVE
추가,fd034497ab02d3b7,11,D00P-10MAN10-M05-0002,PNEUMATIC,(행 전체),,ANGLE · HRSG#12 LP STEAM SYSTEM DISCHARGE ANGLE VALVE
수정,02f4e5e6241e0c4c,35,D00P-10PGB10-M05-0001,FIELD,scope,SCT,VENDOR(PUMP SUPPLIER)
수정,02f4e5e6241e0c4c,35,D00P-10PGB10-M05-0001,FIELD,vendor_supply,,VENDOR
수정,02f4e5e6241e0c4c,35,D00P-10PGB10-M05-0001,FIELD,description,CCW EXPANSION TANK LEVEL GAUGE,
수정,02f4e5e6241e0c4c,35,D00P-10PGB10-M05-0001,FIELD,description_grade,CONFIRMED,SKIP
수정,02f4e5e6241e0c4c,35,D00P-10PGB10-M05-0001,FIELD,remark,판정축 ① · 귀속 CCW EXPANSION TANK,타사 공급 — Description 생략
수정,0a2bf147cf0bf0a2,35,D00P-10PGB10-M05-0001,FIELD,scope,SCT,VENDOR(PUMP SUPPLIER)
수정,0a2bf147cf0bf0a2,35,D00P-10PGB10-M05-0001,FIELD,vendor_supply,,VENDOR
수정,0a2bf147cf0bf0a2,35,D00P-10PGB10-M05-0001,FIELD,description,CLOSED COOLING WATER PUMP B PRESSURE GAUGE,
수정,0a2bf147cf0bf0a2,35,D00P-10PGB10-M05-0001,FIELD,description_grade,CONFIRMED,SKIP
수정,0a2bf147cf0bf0a2,35,D00P-10PGB10-M05-0001,FIELD,remark,판정축 ① · 귀속 CLOSED COOLING WATER PUMP B,타사 공급 — Description 생략
수정,ce95f24b46894699,35,D00P-10PGB10-M05-0001,FIELD,scope,SCT,VENDOR(PUMP SUPPLIER)
수정,ce95f24b46894699,35,D00P-10PGB10-M05-0001,FIELD,vendor_supply,,VENDOR
수정,ce95f24b46894699,35,D00P-10PGB10-M05-0001,FIELD,description,CLOSED COOLING WATER PUMP A PRESSURE GAUGE,
수정,ce95f24b46894699,35,D00P-10PGB10-M05-0001,FIELD,description_grade,CONFIRMED,SKIP
수정,ce95f24b46894699,35,D00P-10PGB10-M05-0001,FIELD,remark,판정축 ① · 귀속 CLOSED COOLING WATER PUMP A,타사 공급 — Description 생략
수정,e7dbe1c447f7bb9f,35,D00P-10PGB10-M05-0001,FIELD,scope,SCT,VENDOR(PUMP SUPPLIER)
수정,e7dbe1c447f7bb9f,35,D00P-10PGB10-M05-0001,FIELD,vendor_supply,,VENDOR
수정,e7dbe1c447f7bb9f,35,D00P-10PGB10-M05-0001,FIELD,description,UNIT #10 CCW CLOSED COOLING WATER PUMP A A PRESSURE,
수정,e7dbe1c447f7bb9f,35,D00P-10PGB10-M05-0001,FIELD,description_grade,CONFIRMED,SKIP
수정,e7dbe1c447f7bb9f,35,D00P-10PGB10-M05-0001,FIELD,remark,"[CCW 방향] CCW 의 SUPPLY / RETURN 은 도면 기하로 구분되지 않습니다 — 발주처 PI 100행이 SUPPLY 49 / RETURN 51 이고 방향 칸 안에서도 반반입니다 (BELOW 31/30, ABOVE 15/13). 직접 입력이 필요합니다",타사 공급 — Description 생략
수정,e887e7f2f206a786,35,D00P-10PGB10-M05-0001,FIELD,scope,SCT,VENDOR(PUMP SUPPLIER)
수정,e887e7f2f206a786,35,D00P-10PGB10-M05-0001,FIELD,vendor_supply,,VENDOR
수정,e887e7f2f206a786,35,D00P-10PGB10-M05-0001,FIELD,description,CHEMICAL DOSING POT PRESSURE GAUGE,
수정,e887e7f2f206a786,35,D00P-10PGB10-M05-0001,FIELD,description_grade,CONFIRMED,SKIP
수정,e887e7f2f206a786,35,D00P-10PGB10-M05-0001,FIELD,remark,판정축 ① · 귀속 CHEMICAL DOSING POT,타사 공급 — Description 생략
