페이지,기준선 행,이번 행,추가,움직인 칸,미판정 심볼
6,46,46,0,0,3
7,32,32,0,0,3
8,36,36,0,0,3
9,41,41,0,0,3
10,41,44,3,0,0
11,41,44,3,0,0
12,19,19,0,0,1
13,9,9,0,0,0
14,16,16,0,0,3
15,1,1,0,0,2
16,48,48,0,0,16
17,15,15,0,0,2
18,12,12,0,0,2
19,0,0,0,0,2
20,38,39,1,0,3
21,32,33,1,0,19
22,4,4,0,0,1
23,4,4,0,0,0
24,2,2,0,0,5
25,19,19,0,0,3
26,29,29,0,0,3
27,25,25,0,0,7
28,14,14,0,0,4
29,0,0,0,0,6
30,32,32,0,0,16
31,15,15,0,0,0
32,24,24,0,0,1
33,47,47,0,0,6
34,1,1,0,0,0
35,25,25,0,25,1
36,12,12,0,0,0
37,30,30,0,0,4
38,24,24,0,0,0
39,21,21,0,0,0
40,33,33,0,0,10
41,33,33,0,0,10
42,11,11,0,0,14
43,1,1,0,0,0
44,0,0,0,0,1
46,22,22,0,0,1
47,36,36,0,0,0
49,22,22,0,0,3
51,14,14,0,0,0
52,30,30,0,0,0
53,24,24,0,0,1
54,21,21,0,0,1
55,9,9,0,0,7
56,18,18,0,0,0
57,0,0,0,0,2
