page_no,drawing_no,tab,type,scope_before,scope_after,grade_before,grade_after,description_before,description_after,key
9,D00P-10LBA30-M05-0001,FIELD,TIT,VENDOR(HRSG),VENDOR(ST SUPPLIER),SKIP,SKIP,,,4da498223637332c
9,D00P-10LBA30-M05-0001,FIELD,PIT,VENDOR(HRSG),VENDOR(ST SUPPLIER),SKIP,SKIP,,,6055e8d5627aeed2
9,D00P-10LBA30-M05-0001,FIELD,PDIT,SCT,VENDOR(ST SUPPLIER),PARTIAL,SKIP,UNIT #10 LP STEAM DIFFERENTIAL PRESSURE,,7e6da84d4525ddd9
9,D00P-10LBA30-M05-0001,FIELD,TW,VENDOR(HRSG),VENDOR(ST SUPPLIER),SKIP,SKIP,,,9bcbf96c09f677bc
9,D00P-10LBA30-M05-0001,FIELD,TW,SCT,VENDOR(ST SUPPLIER),PARTIAL,SKIP,UNIT #10 LP STEAM TEMPERATURE,,e93a86fad4af87cd
9,D00P-10LBA30-M05-0001,FIELD,TW,VENDOR(HRSG),VENDOR(ST SUPPLIER),SKIP,SKIP,,,ecfd2c4877316077
16,D00P-10LCA10-M05-0001,FIELD,LI,SCT,VENDOR(CONDENSER SUPPLIER),CONFIRMED,SKIP,UNIT #10 CONDENSATE CEP MINIMUM FLOW RECIRCULATION LEVEL,,bde9ecc96e51ba61
25,D00P-11EKG10-M05-0001,FIELD,PIT,SCT,VENDOR(GT SUPPLIER),CONFIRMED,SKIP,UNIT #11 GT#11 FUEL GAS LAST CHANCE FILTER A OUTLET PRESSURE B,,1445b85715c1afe9
25,D00P-11EKG10-M05-0001,FIELD,PIT,SCT,VENDOR,CONFIRMED,CONFIRMED,UNIT #11 GT FUEL GAS PERFORMANCE HEATER OUTLET PRESSURE,UNIT #11 GT FUEL GAS PERFORMANCE HEATER OUTLET PRESSURE,d798aa60c32177ac
25,D00P-11EKG10-M05-0001,FIELD,PIT,SCT,VENDOR,CONFIRMED,CONFIRMED,UNIT #11 FUEL GAS HEATER B OUTLET PRESSURE,UNIT #11 FUEL GAS HEATER B OUTLET PRESSURE,f02a47599424f01a
25,D00P-11EKG10-M05-0001,FIELD,PIT,SCT,VENDOR(GT SUPPLIER),CONFIRMED,SKIP,UNIT #11 GAS TURBINE#11 INLET PRESSURE,,f33898fc7647f845
26,D00P-00PAB10-M05-0001,MOV,BALL,SCT,VENDOR(SEAWATER INTAKE FACILITY SUPPLIER),LOW,LOW,TO TRAVELING BAND SCREEN D BALL VALVE C,TO TRAVELING BAND SCREEN D BALL VALVE C,b7ee1642ebee3de5
26,D00P-00PAB10-M05-0001,MOV,BALL,SCT,VENDOR(SEAWATER INTAKE FACILITY SUPPLIER),LOW,LOW,TO TRAVELING BAND SCREEN D BALL VALVE A,TO TRAVELING BAND SCREEN D BALL VALVE A,c899817bce5e0215
26,D00P-00PAB10-M05-0001,MOV,BALL,SCT,VENDOR(SEAWATER INTAKE FACILITY SUPPLIER),LOW,LOW,TO TRAVELING BAND SCREEN D BALL VALVE B,TO TRAVELING BAND SCREEN D BALL VALVE B,f8948d3af81604f8
27,D00P-00PAB10-M05-0002,BFV,BUTTERFLY,SCT,VENDOR(SEAWATER INTAKE FACILITY SUPPLIER),CONFIRMED,CONFIRMED,SCREEM WASH PUMP DISCHARGE BUTTERFLY VALVE,SCREEM WASH PUMP DISCHARGE BUTTERFLY VALVE,8bbb584506ac4f12
27,D00P-00PAB10-M05-0002,BFV,BUTTERFLY,SCT,VENDOR(SEAWATER INTAKE FACILITY SUPPLIER),LOW,LOW,FROM SCREEM WASH PUMP BUTTERFLY VALVE A,FROM SCREEM WASH PUMP BUTTERFLY VALVE A,996e3a9fd40bc377
27,D00P-00PAB10-M05-0002,BFV,BUTTERFLY,SCT,VENDOR(SEAWATER INTAKE FACILITY SUPPLIER),LOW,LOW,FROM SCREEM WASH PUMP BUTTERFLY VALVE B,FROM SCREEM WASH PUMP BUTTERFLY VALVE B,a00f7e2d523b2802
28,D00P-00PAB10-M05-0003,BFV,BUTTERFLY,SCT,VENDOR(SEAWATER INTAKE FACILITY SUPPLIER),LOW,LOW,FROM SCREEN WASH PUMP BUTTERFLY VALVE,FROM SCREEN WASH PUMP BUTTERFLY VALVE,274032790bc6a2ea
30,D00P-10PAC10-M05-0001,FIELD,LIT,SCT,VENDOR(CONDENSER SUPPLIER),CONFIRMED,SKIP,INLET WATERBOX 1 LEVEL TRANSMITTER,,0dfb7937bf4460e5
30,D00P-10PAC10-M05-0001,FIELD,LIT,SCT,VENDOR(CONDENSER SUPPLIER),CONFIRMED,SKIP,INLET WATERBOX 2 LEVEL TRANSMITTER,,25023915fe4092af
30,D00P-10PAC10-M05-0001,FIELD,LIT,SCT,VENDOR(CONDENSER SUPPLIER),CONFIRMED,SKIP,INLET WATERBOX 4 LEVEL TRANSMITTER,,a79151f3669c86fe
30,D00P-10PAC10-M05-0001,FIELD,LIT,SCT,VENDOR(CONDENSER SUPPLIER),CONFIRMED,SKIP,INLET WATERBOX 3 LEVEL TRANSMITTER,,bb98b86e32a3e8cf
30,D00P-10PAC10-M05-0001,FIELD,LIT,SCT,VENDOR(CONDENSER SUPPLIER),CONFIRMED,SKIP,OUTLET WATERBOX 1 LEVEL TRANSMITTER,,c2349b48a795c6ee
30,D00P-10PAC10-M05-0001,FIELD,LIT,SCT,VENDOR(CONDENSER SUPPLIER),CONFIRMED,SKIP,OUTLET WATERBOX 2 LEVEL TRANSMITTER,,df0c9776a7c1b730
30,D00P-10PAC10-M05-0001,FIELD,LIT,SCT,VENDOR(CONDENSER SUPPLIER),CONFIRMED,SKIP,OUTLET WATERBOX 3 LEVEL TRANSMITTER,,e66b80de3e9631db
30,D00P-10PAC10-M05-0001,FIELD,LIT,SCT,VENDOR(CONDENSER SUPPLIER),CONFIRMED,SKIP,OUTLET WATERBOX 4 LEVEL TRANSMITTER,,e66f98ecb04fc80a
