page_no,drawing_no,rows,scope_changed,SCT_before,SCT_after,VENDOR_before,VENDOR_after,지목된_장
6,D00P-10LBA10-M05-0001,46,0,18,18,28,28,
7,D00P-10LBC40-M05-0001,32,0,15,15,17,17,
8,D00P-10LBC50-M05-0001,36,0,15,15,21,21,
9,D00P-10LBA30-M05-0001,41,6,18,16,23,25,
10,D00P-10MAN10-M05-0001,44,0,35,35,9,9,
11,D00P-10MAN10-M05-0002,44,0,35,35,9,9,
12,D00P-10LBG10-M05-0001,19,0,18,18,1,1,
13,D00P-11LCQ10-M05-0001,9,0,5,5,4,4,
14,D00P-10LCM10-M05-0001,16,0,12,12,4,4,
15,D00P-10LBG10-M05-0001,1,0,1,1,0,0,
16,D00P-10LCA10-M05-0001,48,1,34,33,14,15,
17,D00P-10LCA10-M05-0002,15,0,15,15,0,0,
18,D00P-10MAJ10-M05-0001,12,0,12,12,0,0,
20,D00P-11LAB00-M05-0001,39,0,37,37,2,2,
21,D00P-11LAC10-M05-0001,33,0,33,33,0,0,
22,D00P-00EKG10-M05-0001,4,0,4,4,0,0,
23,D00P-00EKG10-M05-0002,4,0,4,4,0,0,
24,D00P-00EKG10-M05-0003,2,0,2,2,0,0,
25,D00P-11EKG10-M05-0001,19,4,12,8,7,11,O
26,D00P-00PAB10-M05-0001,29,3,15,12,14,17,
27,D00P-00PAB10-M05-0002,25,3,15,12,10,13,O
28,D00P-00PAB10-M05-0003,14,1,10,9,4,5,
30,D00P-10PAC10-M05-0001,32,8,32,24,0,8,O
31,D00P-10PCB10-M05-0001,15,0,15,15,0,0,
32,D00P-00EGD00-M05-0001,24,0,16,16,8,8,
33,D00P-00EGD00-M05-0002,47,0,36,36,11,11,
34,D00P-11EGD00-M05-0001,1,0,1,1,0,0,
35,D00P-10PGB10-M05-0001,25,0,20,20,5,5,
36,D00P-10PGB10-M05-0002,12,0,12,12,0,0,
37,D00P-10PGB10-M05-0003,30,0,30,30,0,0,
38,D00P-10PGB10-M05-0004,24,0,24,24,0,0,
39,D00P-10PGB10-M05-0005,21,0,21,21,0,0,
40,D00P-10PGB10-M05-0006,33,0,32,32,1,1,
41,D00P-10PGB10-M05-0007,33,0,32,32,1,1,
42,D00P-10QFA10-M05-0001,11,0,11,11,0,0,
43,D00P-10QFB10-M05-0001,1,0,1,1,0,0,
46,D00P-00GHC10-M05-0001,22,4,18,14,4,8,
47,D00P-00GHC10-M05-0001,36,11,30,19,6,17,
49,D00P-00GHB10-M05-0001,22,5,19,14,3,8,
51,D00P-00GKB10-M05-0001,14,3,11,8,3,6,
52,D00P-00GMA10-M05-0001,30,0,10,10,20,20,
53,D00P-00GMB10-M05-0001,24,0,8,8,16,16,
54,D00P-00GMB10-M05-0002,21,0,7,7,14,14,
55,D00P-00GMA10-M05-0001,9,6,9,3,0,6,
56,D00P-00GQA10-M05-0001,18,0,6,6,12,12,
