## 별표 재현율 — pid_total.pdf
   쪽       버블    ①뭉치    ②창안    ③획수    ④크기    ⑤별표    ⑦붙음  정의줄/까닭
   p4      52      2      1      1      0      0      1  정의줄 없음 크기가 한 번뿐 {(5.6, 5.7): 1}
   p6      42     36     30      0      0      0     26  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p7      34     32     25      0      0      0     14  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p8      35     34     32      0      0      0     22  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p9      41     30     20      0      0      0     25  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p10     44      6      6      0      0      0      6  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p11     44      6      6      0      0      0      6  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p12     21      1      1      0      0      0      1  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p13      9      9      8      0      0      0      4  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p14     18      8      8      0      0      0      4  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p16     65     31     27      0      0      0     16  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p20     41     12      2      0      0      0      2  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p25     12     16      8      0      0      0      6  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4, 8] 가 다름
   p30     28      8      8      0      0      0      8  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p52     50     70     30      0      0      0     30  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p53     40     56     24      0      0      0     24  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p54     35     49     21      0      0      0     21  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p55     15      3      3      3      2      2      9  정의줄 없음 
   p56     30     42     18      0      0      0     18  2획 (4.0, 4.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
합계: {'장': 49, '②창안': 278, '⑤별표': 2, '⑦붙음': 336}
잃은 자리: {'크기 1회': 1, '정의줄 획수': 274}
