## 별표 재현율 — TC2_260821.pdf
   쪽       버블    ①뭉치    ②창안    ③획수    ④크기    ⑤별표    ⑦붙음  정의줄/까닭
   p5      52      2      1      1      0      0      0  정의줄 없음 크기가 한 번뿐 {(2.9, 2.9): 1}
   p6      23     12      9      0      0      0      0  2획 (1.8, 1.7) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p7      24      6      5      0      0      0      0  2획 (1.8, 1.7) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p8      19     12      9      0      0      0      0  2획 (1.8, 1.7) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p9      24     15     11      0      0      0      0  2획 (1.8, 1.7) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p12     19      2      2      0      0      0      0  2획 (2.0, 1.9) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p14     12      6      6      6      6      6      6  정의줄 없음 
   p15     22     34      6      0      0      0      0  2획 (1.8, 1.8) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p16     15     27      4      0      0      0      3  2획 (2.3, 2.3) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p23     18      2      2      0      0      0      2  2획 (1.6, 1.6) ★ 정의줄 획수 2 와 본문 [8] 가 다름
   p25     34     27     10     10      9     11     11  정의줄 없음 
   p36     27     17     10     10      8     10      8  정의줄 없음 
   p38     24     12      8      8      7     11      7  정의줄 없음 
   p40     10      4      4      4      3      3      3  정의줄 없음 
   p41     23     12      8      8      5      5      5  정의줄 없음 
   p42     29     15     15     15     15     15     15  정의줄 없음 
   p44     18      9      9      9      7      7      7  정의줄 없음 
   p46     13      6      6      6      3      3      3  정의줄 없음 
   p47     13      5      3      3      0      0      0  정의줄 없음 크기가 한 번뿐 {(2.9, 2.8): 1, (2.8, 2.8): 1, (2.9, 2.9): 1}
   p51     40     55     24      0      0      0      0  2획 (2.0, 2.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p52     40     55     24      0      0      0      0  2획 (1.9, 2.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p53     20     28     12      0      0      0      0  2획 (2.0, 2.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p54     30     41     18      0      0      0      0  2획 (2.0, 2.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p55     30     40     16      0      0      0      0  2획 (2.0, 2.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p56     10     14      6      0      0      0      0  2획 (2.0, 2.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p57     20     26     10      0      0      0      0  2획 (2.0, 2.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
   p58     30     39     16      0      0      0      0  2획 (2.0, 2.0) ★ 정의줄 획수 2 와 본문 [4] 가 다름
합계: {'장': 54, '②창안': 254, '⑤별표': 71, '⑦붙음': 73}
잃은 자리: {'크기 1회': 4, '정의줄 획수': 174}
