[TC2] 행 있는 장 44개 → 뽑은 장 [6, 12, 18, 30, 37, 45, 52, 58]
  p6 D02J-31LBA10-M05-0001 · 그리드 15행 · SVG 15노드 · ['SCT 공급 범위 7', 'VENDOR 공급 (BM 당사) 8', '판정 없음 0', '검토 필요 0']
  p12 D02J-31LBM10-M05-0001 · 그리드 13행 · SVG 13노드 · ['SCT 공급 범위 13', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 0']
  p18 D02J-31LCA10-M05-0005 · 그리드 11행 · SVG 11노드 · ['SCT 공급 범위 11', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 0']
  p30 D02J-00EKG00-M05-0002 · 그리드 2행 · SVG 2노드 · ['SCT 공급 범위 2', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 0']
  p37 D02J-00GHC10-M05-0004 · 그리드 11행 · SVG 11노드 · ['SCT 공급 범위 0', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 11']
  p45 D02J-00GKB10-M05-0004 · 그리드 1행 · SVG 1노드 · ['SCT 공급 범위 0', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 1']
  p52 D02J-00GMA10-M05-0002 · 그리드 24행 · SVG 24노드 · ['SCT 공급 범위 8', 'VENDOR 공급 (BM 당사) 16', '판정 없음 0', '검토 필요 0']
  p58 D02J-00GQA10-M05-0002 · 그리드 18행 · SVG 18노드 · ['SCT 공급 범위 0', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 18']
[AL NOUF1] 행 있는 장 45개 → 뽑은 장 [6, 12, 20, 26, 33, 39, 49, 56]
  p6 D00P-10LBA10-M05-0001 · 그리드 46행 · SVG 46노드 · ['SCT 공급 범위 18', 'VENDOR 공급 (BM 당사) 28', '판정 없음 0', '검토 필요 0']
  p12 D00P-10LBG10-M05-0001 · 그리드 20행 · SVG 19노드 · ['SCT 공급 범위 18', 'VENDOR 공급 (BM 당사) 1', '판정 없음 0', '검토 필요 0']
  p20 D00P-11LAB00-M05-0001 · 그리드 39행 · SVG 39노드 · ['SCT 공급 범위 36', 'VENDOR 공급 (BM 당사) 2', '판정 없음 0', '검토 필요 1']
  p26 D00P-00PAB10-M05-0001 · 그리드 29행 · SVG 29노드 · ['SCT 공급 범위 12', 'VENDOR 공급 (BM 당사) 17', '판정 없음 0', '검토 필요 0']
  p33 D00P-00EGD00-M05-0002 · 그리드 47행 · SVG 47노드 · ['SCT 공급 범위 36', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 11']
  p39 D00P-10PGB10-M05-0005 · 그리드 21행 · SVG 21노드 · ['SCT 공급 범위 21', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 0']
  p49 D00P-00GHB10-M05-0001 · 그리드 22행 · SVG 22노드 · ['SCT 공급 범위 14', 'VENDOR 공급 (BM 당사) 8', '판정 없음 0', '검토 필요 0']
  p56 D00P-00GQA10-M05-0001 · 그리드 18행 · SVG 18노드 · ['SCT 공급 범위 6', 'VENDOR 공급 (BM 당사) 12', '판정 없음 0', '검토 필요 0']
