[AL NOUF1] 행 있는 장 45개 → 뽑은 장 [6, 12, 20, 26, 33, 39, 49, 56]
  p6 D00P-10LBA10-M05-0001 · 그리드 46행 · SVG 46노드 · ['SCT 공급 범위 18', 'VENDOR 공급 (BM 당사) 28', '판정 없음 0', '검토 필요 (그중) 0']
  p12 D00P-10LBG10-M05-0001 · 그리드 20행 · SVG 19노드 · ['SCT 공급 범위 18', 'VENDOR 공급 (BM 당사) 1', '판정 없음 0', '검토 필요 (그중) 0']
  p20 D00P-11LAB00-M05-0001 · 그리드 39행 · SVG 42노드 · ['SCT 공급 범위 37', 'VENDOR 공급 (BM 당사) 2', '판정 없음 0', '검토 필요 (그중) 1']
  p26 D00P-00PAB10-M05-0001 · 그리드 29행 · SVG 29노드 · ['SCT 공급 범위 12', 'VENDOR 공급 (BM 당사) 17', '판정 없음 0', '검토 필요 (그중) 0']
  p33 D00P-00EGD00-M05-0002 · 그리드 47행 · SVG 80노드 · ['SCT 공급 범위 36', 'VENDOR 공급 (BM 당사) 11', '판정 없음 0', '검토 필요 (그중) 11']
  p39 D00P-10PGB10-M05-0005 · 그리드 21행 · SVG 21노드 · ['SCT 공급 범위 21', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 0']
  p49 D00P-00GHB10-M05-0001 · 그리드 22행 · SVG 22노드 · ['SCT 공급 범위 14', 'VENDOR 공급 (BM 당사) 8', '판정 없음 0', '검토 필요 (그중) 0']
  p56 D00P-00GQA10-M05-0001 · 그리드 18행 · SVG 18노드 · ['SCT 공급 범위 6', 'VENDOR 공급 (BM 당사) 12', '판정 없음 0', '검토 필요 (그중) 0']
[SADARA] 행 있는 장 4개 → 뽑은 장 [6, 7, 8, 9]
  p6 1A46-10LBA10-M05-0001 · 그리드 10행 · SVG 40노드 · ['SCT 공급 범위 7', 'VENDOR 공급 (BM 당사) 3', '판정 없음 0', '검토 필요 (그중) 10']
  p7 1A46-10LBA10-M05-0002 · 그리드 25행 · SVG 100노드 · ['SCT 공급 범위 21', 'VENDOR 공급 (BM 당사) 4', '판정 없음 0', '검토 필요 (그중) 25']
  p8 1A46-10LBA10-M05-0003 · 그리드 17행 · SVG 68노드 · ['SCT 공급 범위 17', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 17']
  p9 1A46-10LBA20-M05-0001 · 그리드 30행 · SVG 120노드 · ['SCT 공급 범위 30', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 30']
[TC2] 행 있는 장 44개 → 뽑은 장 [6, 12, 18, 30, 37, 45, 52, 58]
  p6 D02J-31LBA10-M05-0001 · 그리드 15행 · SVG 15노드 · ['SCT 공급 범위 7', 'VENDOR 공급 (BM 당사) 8', '판정 없음 0', '검토 필요 (그중) 0']
  p12 D02J-31LBM10-M05-0001 · 그리드 13행 · SVG 13노드 · ['SCT 공급 범위 13', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 0']
  p18 D02J-31LCA10-M05-0005 · 그리드 11행 · SVG 11노드 · ['SCT 공급 범위 11', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 0']
  p30 D02J-00EKG00-M05-0002 · 그리드 2행 · SVG 2노드 · ['SCT 공급 범위 2', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 0']
  p37 D02J-00GHC10-M05-0004 · 그리드 11행 · SVG 44노드 · ['SCT 공급 범위 11', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 11']
  p45 D02J-00GKB10-M05-0004 · 그리드 1행 · SVG 4노드 · ['SCT 공급 범위 1', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 1']
  p52 D02J-00GMA10-M05-0002 · 그리드 24행 · SVG 24노드 · ['SCT 공급 범위 8', 'VENDOR 공급 (BM 당사) 16', '판정 없음 0', '검토 필요 (그중) 0']
  p58 D02J-00GQA10-M05-0002 · 그리드 18행 · SVG 72노드 · ['SCT 공급 범위 8', 'VENDOR 공급 (BM 당사) 10', '판정 없음 0', '검토 필요 (그중) 18']
[UAD] 행 있는 장 14개 → 뽑은 장 [6, 8, 19, 21, 23, 26, 29, 31]
  p6 1A5J-00EKG00-M05-0001 · 그리드 5행 · SVG 20노드 · ['SCT 공급 범위 5', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 5']
  p8 1A5J-00EKG00-M05-0003 · 그리드 4행 · SVG 21노드 · ['SCT 공급 범위 4', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 4']
  p19 1A5J-00GHB10-M05-0001 · 그리드 14행 · SVG 61노드 · ['SCT 공급 범위 14', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 14']
  p21 1A5J-00GHC10-M05-0001 · 그리드 19행 · SVG 81노드 · ['SCT 공급 범위 11', 'VENDOR 공급 (BM 당사) 8', '판정 없음 0', '검토 필요 (그중) 19']
  p23 1A5J-00GKB10-M05-0001 · 그리드 21행 · SVG 89노드 · ['SCT 공급 범위 16', 'VENDOR 공급 (BM 당사) 5', '판정 없음 0', '검토 필요 (그중) 21']
  p26 1A5J-00QFB10-M05-0001 · 그리드 7행 · SVG 33노드 · ['SCT 공급 범위 7', 'VENDOR 공급 (BM 당사) 0', '판정 없음 0', '검토 필요 (그중) 7']
  p29 1A5J-00GMB10-M05-0001 · 그리드 10행 · SVG 45노드 · ['SCT 공급 범위 0', 'VENDOR 공급 (BM 당사) 10', '판정 없음 0', '검토 필요 (그중) 10']
  p31 1A5J-00GQA10-M05-0001 · 그리드 8행 · SVG 37노드 · ['SCT 공급 범위 0', 'VENDOR 공급 (BM 당사) 8', '판정 없음 0', '검토 필요 (그중) 8']
