TC2 layout act_box (9.0, 34.0) body_short (5.0, 30.0)
TC2 CHECK bodies 90 | THREE-WAY candidates 0 | overlapping bodies of different kind 189 | phantom round bodies 534 | uncovered apex-to-apex triangle pairs 15
  phantom (6, 'BUTTERFLY', [216, 533, 304, 535], 2.0, [33.6, 53.9])
  phantom (6, 'BUTTERFLY', [216, 514, 304, 516], 2.0, [33.6, 53.9])
  phantom (6, 'BUTTERFLY', [146, 533, 249, 535], 2.0, [41.6, 60.8])
  phantom (6, 'BUTTERFLY', [146, 514, 249, 516], 2.0, [41.6, 60.8])
  phantom (6, 'BUTTERFLY', [167, 533, 249, 535], 2.0, [35.3, 46.7])
  phantom (6, 'BUTTERFLY', [304, 543, 436, 545], 2.0, [67.4, 65.4])
  phantom (7, 'BUTTERFLY', [424, 514, 788, 521], 7.1, [236.3, 127.3])
  phantom (7, 'BUTTERFLY', [262, 198, 264, 291], 2.0, [48.4, 44.3])
  phantom (7, 'BUTTERFLY', [262, 198, 264, 314], 2.0, [70.9, 45.5])
  phantom (7, 'BUTTERFLY', [276, 198, 278, 291], 2.0, [48.4, 44.3])
  phantom (7, 'BUTTERFLY', [276, 198, 278, 314], 2.0, [70.9, 45.5])
  phantom (7, 'BUTTERFLY', [424, 514, 752, 521], 7.1, [194.3, 133.6])
  phantom (8, 'BUTTERFLY', [259, 572, 632, 579], 7.1, [131.8, 241.2])
  phantom (8, 'BUTTERFLY', [124, 523, 192, 525], 2.0, [33.5, 34.0])
  phantom (8, 'BUTTERFLY', [124, 537, 192, 539], 2.0, [33.5, 34.0])
  phantom (9, 'BUTTERFLY', [332, 548, 409, 550], 2.0, [35.1, 41.9])
  phantom (9, 'BUTTERFLY', [170, 534, 244, 536], 2.0, [39.7, 33.5])
  phantom (9, 'BUTTERFLY', [128, 534, 243, 536], 2.0, [55.8, 59.4])
  phantom (9, 'BUTTERFLY', [697, 342, 699, 442], 2.0, [50.0, 49.4])
  phantom (10, 'BUTTERFLY', [306, 722, 402, 724], 2.0, [47.5, 49.1])
  phantom (10, 'BUTTERFLY', [402, 719, 502, 721], 2.0, [35.0, 64.4])
  phantom (10, 'BUTTERFLY', [646, 577, 716, 579], 2.0, [34.3, 35.7])
  phantom (10, 'BUTTERFLY', [263, 503, 402, 506], 2.0, [89.6, 49.1])
  phantom (10, 'BUTTERFLY', [402, 501, 502, 503], 2.0, [35.0, 64.4])
  phantom (10, 'BALL', [646, 355, 716, 357], 2.0, [34.3, 35.7])
