UAD layout act_box (9.0, 34.0) body_short (5.0, 30.0)
UAD CHECK bodies 41 | THREE-WAY candidates 1 | overlapping bodies of different kind 71 | phantom round bodies 228 | uncovered apex-to-apex triangle pairs 6
  phantom (6, 'BUTTERFLY', [468, 216, 842, 219], 3.5, [164.3, 209.4])
  phantom (6, 'BUTTERFLY', [357, 216, 691, 219], 3.5, [155.7, 178.1])
  phantom (6, 'BUTTERFLY', [629, 152, 633, 582], 3.5, [216.9, 213.2])
  phantom (6, 'BUTTERFLY', [173, 216, 508, 219], 3.5, [179.8, 155.8])
  phantom (6, 'BUTTERFLY', [217, 216, 628, 219], 3.5, [188.0, 223.3])
  phantom (6, 'BUTTERFLY', [263, 136, 659, 139], 3.5, [162.3, 233.7])
  phantom (6, 'BUTTERFLY', [134, 156, 363, 158], 2.0, [127.2, 102.6])
  phantom (6, 'BUTTERFLY', [621, 158, 857, 160], 2.0, [91.2, 144.4])
  phantom (6, 'BUTTERFLY', [304, 181, 695, 185], 3.5, [215.6, 175.1])
  phantom (6, 'BUTTERFLY', [356, 203, 733, 206], 3.5, [163.7, 213.1])
  phantom (6, 'BUTTERFLY', [324, 526, 775, 529], 3.5, [198.5, 252.9])
  phantom (6, 'BUTTERFLY', [430, 212, 715, 215], 3.0, [135.1, 150.0])
  phantom (6, 'BUTTERFLY', [356, 202, 733, 206], 3.5, [219.2, 157.6])
  phantom (6, 'BUTTERFLY', [435, 212, 715, 215], 3.0, [140.1, 139.5])
  phantom (6, 'BUTTERFLY', [566, 230, 569, 501], 3.0, [132.8, 138.0])
  phantom (6, 'BUTTERFLY', [576, 157, 579, 501], 3.5, [186.3, 157.6])
  phantom (6, 'BUTTERFLY', [576, 157, 579, 511], 3.5, [196.9, 157.6])
  phantom (6, 'BUTTERFLY', [576, 230, 579, 501], 3.0, [132.7, 138.1])
  phantom (6, 'BUTTERFLY', [230, 555, 467, 557], 2.0, [105.5, 131.7])
  phantom (6, 'BUTTERFLY', [304, 181, 694, 184], 3.5, [155.3, 234.7])
  phantom (6, 'BUTTERFLY', [304, 200, 621, 204], 3.5, [155.3, 161.6])
  phantom (7, 'BUTTERFLY', [576, 90, 580, 443], 3.5, [166.7, 186.4])
  phantom (7, 'BUTTERFLY', [546, 253, 746, 255], 2.0, [96.9, 102.4])
  phantom (7, 'BUTTERFLY', [424, 178, 764, 181], 3.5, [154.2, 186.0])
  phantom (7, 'BUTTERFLY', [546, 176, 746, 178], 2.0, [96.9, 102.4])
  phantom (7, 'BUTTERFLY', [361, 315, 767, 319], 3.5, [216.6, 188.9])
  phantom (7, 'BUTTERFLY', [642, 180, 644, 412], 2.0, [134.9, 97.3])
  phantom (7, 'BUTTERFLY', [512, 178, 819, 181], 3.5, [153.3, 154.2])
  phantom (7, 'BUTTERFLY', [347, 200, 552, 202], 2.0, [111.9, 92.9])
  phantom (7, 'BUTTERFLY', [334, 98, 337, 436], 3.5, [158.0, 179.5])
