page drawings pieces solid dom_short gap t_pieces t_gap t_link t_total peak_MB dashed ncells maxcell
1 52717 - 0 - - - - - 3.02 - 0 - -
2 54107 20926 2 11.4 1.3 2.96 12.46 61.86 77.28 405.2 0 770 1496
3 53171 20346 5 11.4 1.2 2.75 11.02 56.63 70.4 410.2 0 412 1520
4 53463 20528 48 11.4 1.3 2.81 12.16 61.36 76.33 413.4 0 595 1492
5 53528 20575 52 11.4 1.3 2.68 10.81 63.73 77.23 402.4 0 562 1500
6 54436 21753 23 11.4 0.6 2.99 10.88 19.36 33.23 417.9 0 640 1500
7 53850 21151 24 11.4 1.2 2.8 11.58 56.2 70.58 417.3 0 527 1500
8 53375 20748 19 11.4 0.6 4.44 11.54 15.12 31.1 417.0 0 347 1500
9 53825 21139 24 11.4 0.6 2.77 16.58 11.59 30.94 417.3 0 472 1500
10 55674 22656 48 12.1 1.8 3.07 14.34 108.92 126.33 418.7 0 1010 1500
11 55274 22072 37 11.4 2.5 2.87 11.63 171.08 185.57 419.1 1 1238 1492
