data/pid_total.pdf {'tags': 198, 'leader_hits_nothing': 49, 'no_leader': 140, 'same': 9}
   p3   FCV   leaders=1 len=26.9  nearest=GATE  leader=None  neard=163.0
   p3   LCV   leaders=0 len=None  nearest=GATE  leader=None  neard=58.9
   p3   PRV   leaders=0 len=None  nearest=GATE  leader=None  neard=56.7
   p3   PRV   leaders=0 len=None  nearest=GATE  leader=None  neard=54.9
   p3   PRV   leaders=0 len=None  nearest=GATE  leader=None  neard=60.0
   p3   BPRV  leaders=0 len=None  nearest=GATE  leader=None  neard=56.7
   p3   BPRV  leaders=0 len=None  nearest=GATE  leader=None  neard=56.8
   p3   PSV   leaders=1 len=42.8  nearest=CHECK  leader=None  neard=188.0
   p3   PSV   leaders=0 len=None  nearest=None  leader=None  neard=None
   p3   PSV   leaders=0 len=None  nearest=None  leader=None  neard=None
   p4   MOV   leaders=1 len=39.6  nearest=GATE  leader=GATE  neard=80.1
   p4   MOV   leaders=1 len=39.5  nearest=GATE  leader=GATE  neard=80.1
   p4   MOV   leaders=1 len=39.6  nearest=GATE  leader=GATE  neard=80.1
   p4   MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=56.7
   p4   MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=56.7
   p4   MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=56.7
   p4   HV    leaders=0 len=None  nearest=BUTTERFLY  leader=None  neard=65.9
   p4   HV    leaders=0 len=None  nearest=BUTTERFLY  leader=None  neard=65.9
   p4   PCV   leaders=1 len=39.2  nearest=GATE  leader=GATE  neard=68.6
   p4   PCV   leaders=0 len=None  nearest=GATE  leader=None  neard=56.7
   p4   HV    leaders=0 len=None  nearest=GATE  leader=None  neard=56.8
   p6   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=66.5
   p6   MOV   leaders=0 len=None  nearest=BALL  leader=None  neard=66.5
   p6   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=66.5
   p6   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=59.8
   p7   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=67.1
   p7   PCV   leaders=0 len=None  nearest=GATE  leader=None  neard=62.4
   p7   PCV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=69.4
   p7   NRV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=49.8
   p7   MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=60.1
   p7   MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=71.5
   p7   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=76.4
   p7   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=76.4
   p7   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=66.9
   p7   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=66.5
   p7   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=66.5
   p8   MOV   leaders=0 len=None  nearest=DIAPHRAGM  leader=None  neard=60.2
   p8   MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=60.2
   p8   MOV   leaders=1 len=44.1  nearest=GLOBE  leader=GLOBE  neard=60.1
   p8   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=60.1
   p8   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=59.8
   p9   MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=60.1
   p9   MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=60.2
   p9   MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=60.1
