page_no,drawing_no,drawing_title,unit_code,rev,rev_date,rev_method,rev_confidence,rev_detail,page_kind,rotation,status,issues
1,D00P-00GEN00-M05-0001,P&ID FOR DRAWING LIST,00,B,,GLYPH,HIGH,1 char(s); d=0.0075 ratio=4.64,DRAWING_LIST,0,OK,
2,D00P-00GEN00-M05-0002,P&ID FOR SYMBOLS & LEGENDS 1,00,A,19.SEP.2025,TEXT,HIGH,read from text layer,LEGEND,0,OK,
3,D00P-00GEN00-M05-0003,P&ID FOR SYMBOLS & LEGENDS 2,00,A,,GLYPH,HIGH,1 char(s); d=0.0079 ratio=6.87,LEGEND,0,OK,
4,D00P-00GEN00-M05-0004,P&ID FOR SYMBOLS & LEGENDS 3,00,A,,GLYPH,HIGH,1 char(s); d=0.0079 ratio=6.87,LEGEND,0,OK,
5,D00P-00GEN00-M05-0005,P&ID FOR SYMBOLS & LEGENDS 4,00,A,,GLYPH,HIGH,1 char(s); d=0.0079 ratio=6.87,LEGEND,0,OK,
6,D00P-10LBA10-M05-0001,P&ID FOR HP STEAM SYSTEM GROUP 10,10,C,24.NOV.2025,TEXT,HIGH,read from text layer,PID,0,OK,
7,D00P-10LBC40-M05-0001,P&ID FOR CRH STEAM SYSTEM GROUP 10,10,A,19.SEP.2025,TEXT,HIGH,read from text layer,PID,270,OK,
8,D00P-10LBC50-M05-0001,P&ID FOR HRH STEAM SYSTEM GROUP 10,10,C,24.NOV.2025,TEXT,HIGH,read from text layer,PID,0,OK,
9,D00P-10LBA30-M05-0001,P&ID FOR LP STEAM SYSTEM GROUP 10,10,A,19.SEP.2025,TEXT,HIGH,read from text layer,PID,0,OK,
10,D00P-10MAN10-M05-0001,P&ID FOR BYPASS STEAM SYSTEM GROUP 10 (1 OF 2),10,C,24.NOV.2025,TEXT,HIGH,read from text layer,PID,0,OK,
11,D00P-10MAN10-M05-0002,P&ID FOR BYPASS STEAM SYSTEM GROUP 10 (2 OF 2),10,C,,GLYPH,HIGH,1 char(s); d=0.0088 ratio=5.05,PID,0,OK,
12,D00P-10LBG10-M05-0001,P&ID FOR AUXILIARY STEAM SYSTEM GROUP 10,10,B,01.OCT.2025,TEXT,HIGH,read from text layer,PID,0,OK,
13,D00P-11LCQ10-M05-0001,P&ID FOR HRSG BLOWDOWN SYSTEM UNIT 11,11,A,,GLYPH,HIGH,1 char(s); d=0.0083 ratio=6.57,PID,0,OK,
14,D00P-10LCM10-M05-0001,P&ID FOR CLEAN DRAIN SYSTEM FOR GROUP 10,10,B,16.OCT.2025,TEXT,HIGH,read from text layer,PID,0,OK,
15,D00P-10LBG10-M05-0001,P&ID FOR GT FLASH PIPE SYSTEM UNIT 11,10,A,,GLYPH,HIGH,1 char(s); d=0.0079 ratio=6.92,PID,0,OK,
